sheet_name,metric_column,metric_type,category,description,calculation_or_prompt,score_range,direction
evaluations,eval_status,Formula,status,"Quality category","good if score>=0.8, average if >=0.6, bad if <0.6",good/average/bad,N/A
evaluations,tool_reasoning,Text,tool,"Tool selection explanation","Why these tools were selected",text,N/A
evaluations,data_reasoning,Text,data,"Data quality explanation","Notes on data completeness",text,N/A
evaluations,synthesis_reasoning,Text,synthesis,"Synthesis explanation","Notes on synthesis quality",text,N/A
tool_selections,selected_tools,List,tool,"Tools agent chose","List from LLM tool selection",list,N/A
tool_selections,expected_tools,Rule,tool,"Tools it should use","Public US: SEC Edgar, Finnhub, Web Search, Tavily. Private: Web Search, Court Listener, Tavily",list,N/A
tool_selections,correct_tools,Rule,tool,"Intersection of selected and expected","selected ∩ expected",list,N/A
tool_selections,missing_tools,Rule,tool,"Expected but not selected","expected - selected",list,N/A
tool_selections,extra_tools,Rule,tool,"Selected but not expected","selected - expected",list,N/A
tool_selections,precision,Formula,tool,"Tool correctness ratio","correct_tools / selected_tools",0-1,higher=better
tool_selections,recall,Formula,tool,"Tool completeness ratio","correct_tools / expected_tools",0-1,higher=better
tool_selections,f1_score,Formula,tool,"Balanced tool score","2 × (precision × recall) / (precision + recall)",0-1,higher=better
tool_selections,model,Text,tool,"LLM model used for selection","Model that made tool selection decision",text,N/A
tool_selections,reasoning,Text,tool,"Selection reasoning","LLM explanation for tool choices",text,N/A
llm_calls,call_type,Label,call,"Purpose of LLM call","company_parser, tool_selection, credit_synthesis, tool_selection_evaluation",text,N/A
llm_calls,prompt_tokens,Measured,cost,"Input tokens","Token count from LLM response",integer,N/A
llm_calls,completion_tokens,Measured,cost,"Output tokens","Token count from LLM response",integer,N/A
llm_calls,total_tokens,Formula,cost,"Sum of tokens","prompt_tokens + completion_tokens",integer,N/A
llm_calls,input_cost,Formula,cost,"Input cost USD","prompt_tokens × input_rate",USD,lower=better
llm_calls,output_cost,Formula,cost,"Output cost USD","completion_tokens × output_rate",USD,lower=better
llm_calls,total_cost,Formula,cost,"Total USD cost","input_cost + output_cost",USD,lower=better
llm_calls,execution_time_ms,Measured,performance,"LLM API call duration","Time from request to response",ms,lower=better
consistency_scores,model_name,Label,consistency,"Model evaluated","e.g., llama-3.3-70b-versatile",text,N/A
consistency_scores,evaluation_type,Label,consistency,"Type of evaluation","same_model or cross_model",text,N/A
consistency_scores,num_runs,Count,consistency,"Runs compared","Usually 3 for same_model, 2 for cross_model",integer,N/A
consistency_scores,risk_level_consistency,Formula,consistency,"Risk agreement %","count(mode_risk_level) / total_runs",0-1,higher=better
consistency_scores,score_consistency,Formula,consistency,"Score stability","1 - (std_dev / mean) of credit scores across runs",0-1,higher=better
consistency_scores,score_std,Formula,consistency,"Score standard deviation","std(credit_scores) across multiple runs",0-550,lower=better
consistency_scores,overall_consistency,Formula,consistency,"Combined consistency","(risk_level_consistency × 0.5) + (score_consistency × 0.5)",0-1,higher=better
consistency_scores,eval_status,Formula,status,"Consistency category","good if >=0.8, average if >=0.6, bad if <0.6",good/average/bad,N/A
consistency_scores,risk_levels,Data,consistency,"All risk levels from runs","e.g., LOW, LOW, MODERATE",list,N/A
consistency_scores,credit_scores,Data,consistency,"All scores from runs","e.g., 750, 745, 720",list,N/A
data_sources,source_name,Label,data,"Data source name","sec_edgar, finnhub, court_listener, tavily, web_search",text,N/A
data_sources,records_found,Count,data,"Records retrieved","Count of records from API",integer,N/A
data_sources,execution_time_ms,Measured,performance,"API call duration","Time for data source fetch",ms,lower=better
data_sources,status,Measured,quality,"Fetch result status","ok if successful, fail if error",ok/fail,N/A
langgraph_events,event_type,Label,workflow,"Event type","on_chain_start, on_chain_end, on_llm_start, on_llm_end, etc.",text,N/A
langgraph_events,event_name,Label,workflow,"Event name","Identifier for the event",text,N/A
langgraph_events,tokens,Measured,cost,"Token count","If LLM event, token count",integer,N/A
langgraph_events,duration_ms,Measured,performance,"Event duration","Time for event execution",ms,N/A
langgraph_events,status,Measured,quality,"Event status","ok or error",ok/error,N/A
plans,num_tasks,Count,planning,"Task count","Number of tasks in plan",integer,N/A
plans,plan_summary,Text,planning,"Plan description","Brief summary of plan created",text,N/A
plans,full_plan,JSON,planning,"Complete plan","Full task plan as JSON",json,N/A
prompts,prompt_id,Label,prompt,"Prompt identifier","company_parser, tool_selection, credit_synthesis, etc.",text,N/A
prompts,prompt_name,Text,prompt,"Human-readable name","Display name for prompt",text,N/A
prompts,category,Label,prompt,"Prompt category","input, planning, synthesis, evaluation, validation",text,N/A
prompts,system_prompt,Text,prompt,"System prompt text","Full system instructions",text,N/A
prompts,user_prompt,Text,prompt,"User prompt text","Full user message with variables substituted",text,N/A
prompts,variables_json,JSON,prompt,"Variables used","Variables substituted into prompt",json,N/A
cross_model_eval,models_compared,List,coalition,"Models compared","e.g., llama-3.3-70b-versatile, llama-3.1-8b-instant",list,N/A
cross_model_eval,num_models,Count,coalition,"Number of models","Usually 2",integer,N/A
cross_model_eval,risk_level_agreement,Formula,coalition,"All same risk?","1.0 if all models agree on risk level, else partial score based on majority",0-1,higher=better
cross_model_eval,credit_score_mean,Formula,coalition,"Average score","mean(scores) across all models",300-850,N/A
cross_model_eval,credit_score_std,Formula,coalition,"Score variation","std(scores) across all models",0-550,lower=better
cross_model_eval,credit_score_range,Formula,coalition,"Score spread","max(scores) - min(scores)",0-550,lower=better
cross_model_eval,confidence_agreement,Formula,coalition,"Confidence match","1 - normalized_variance of confidence scores",0-1,higher=better
cross_model_eval,best_model,LLM-Judge,coalition,"Recommended model","PROMPT: Which model provides the best assessment? Consider quality, depth, data usage",text,N/A
cross_model_eval,best_model_reasoning,LLM-Judge,coalition,"Why best","PROMPT: Explain why this model is best",text,N/A
cross_model_eval,cross_model_agreement,Formula,coalition,"Overall agreement","Weighted average of risk_agreement, score_agreement, confidence_agreement",0-1,higher=better
cross_model_eval,eval_status,Formula,status,"Agreement category","good if >=0.8, average if >=0.6, bad if <0.6",good/average/bad,N/A
cross_model_eval,llm_judge_analysis,LLM-Judge,coalition,"Model comparison","PROMPT: Compare model outputs. Which has better reasoning?",text,N/A
cross_model_eval,model_recommendations,LLM-Judge,coalition,"Production advice","PROMPT: Which model to use for production?",text,N/A
llm_judge_results,model_used,Label,judge,"Judge model","LLM model performing evaluation",text,N/A
llm_judge_results,accuracy_score,LLM-Judge,judge,"Risk reasonable?","PROMPT: Is the risk level and credit score reasonable given the available data? Score 0-1",0-1,higher=better
llm_judge_results,completeness_score,LLM-Judge,judge,"All factors covered?","PROMPT: Does the assessment cover all relevant risk factors? Score 0-1",0-1,higher=better
llm_judge_results,consistency_score,LLM-Judge,judge,"Logic coherent?","PROMPT: Is the reasoning consistent with the final risk level and score? Score 0-1",0-1,higher=better
llm_judge_results,actionability_score,LLM-Judge,judge,"Clear actions?","PROMPT: Are the recommendations clear and actionable? Score 0-1",0-1,higher=better
llm_judge_results,data_utilization_score,LLM-Judge,judge,"Data well used?","PROMPT: Was the available data effectively used in the analysis? Score 0-1",0-1,higher=better
llm_judge_results,overall_score,Formula,judge,"Average score","(accuracy + completeness + consistency + actionability + data_utilization) / 5",0-1,higher=better
llm_judge_results,eval_status,Formula,status,"Judge category","good if >=0.8, average if >=0.6, bad if <0.6",good/average/bad,N/A
llm_judge_results,accuracy_reasoning,LLM-Judge,judge,"Accuracy explanation","LLM explains why it gave this accuracy score",text,N/A
llm_judge_results,completeness_reasoning,LLM-Judge,judge,"Completeness explanation","LLM explains coverage of risk factors",text,N/A
llm_judge_results,consistency_reasoning,LLM-Judge,judge,"Consistency explanation","LLM explains reasoning coherence",text,N/A
llm_judge_results,actionability_reasoning,LLM-Judge,judge,"Actionability explanation","LLM explains recommendation quality",text,N/A
llm_judge_results,data_utilization_reasoning,LLM-Judge,judge,"Data usage explanation","LLM explains how well data was used",text,N/A
llm_judge_results,overall_reasoning,LLM-Judge,judge,"Overall analysis","LLM summary of assessment quality",text,N/A
llm_judge_results,benchmark_alignment,LLM-Judge,judge,"Benchmark match","PROMPT: How well does this align with expected benchmark assessment? Score 0-1",0-1,higher=better
llm_judge_results,suggestions,LLM-Judge,judge,"Improvement suggestions","PROMPT: What improvements would make this assessment better?",text,N/A
llm_judge_results,tokens_used,Measured,cost,"Judge tokens","Token usage for judge evaluation",integer,N/A
llm_judge_results,evaluation_cost,Formula,cost,"Judge cost USD","Cost of LLM judge evaluation",USD,lower=better
agent_metrics,intent_correctness,Rule,agent,"Task understanding","(name_parsed × 0.4) + (type_identified × 0.3) + (parse_confidence × 0.3)",0-1,higher=better
agent_metrics,plan_quality,Rule,agent,"Plan quality","(plan_size_ok × 0.3) + (has_data_gathering × 0.35) + (has_analysis × 0.35). Plan size ok if 3-10 steps",0-1,higher=better
agent_metrics,tool_choice_correctness,Rule,agent,"Tool precision","correct_tools / selected_tools",0-1,higher=better
agent_metrics,tool_completeness,Rule,agent,"Tool recall","used_tools / expected_tools",0-1,higher=better
agent_metrics,trajectory_match,Rule,agent,"Path following","(jaccard_similarity × 0.6) + (order_score × 0.4). Jaccard = intersection/union of steps",0-1,higher=better
agent_metrics,final_answer_quality,Rule,agent,"Output validity","(required_fields × 0.5) + (valid_risk × 0.15) + (valid_score × 0.15) + (has_confidence × 0.1) + (has_reasoning × 0.1)",0-1,higher=better
agent_metrics,step_count,Measured,agent,"Steps taken","Count of workflow steps executed",integer,N/A
agent_metrics,tool_calls,Measured,agent,"Tool invocations","Count of tool calls made",integer,N/A
agent_metrics,latency_ms,Measured,agent,"Execution time","Total milliseconds for workflow",ms,lower=better
agent_metrics,overall_score,Formula,agent,"Agent efficiency","(intent×0.15) + (plan×0.15) + (tool_prec×0.20) + (tool_rec×0.15) + (trajectory×0.15) + (answer×0.20)",0-1,higher=better
agent_metrics,eval_status,Formula,status,"Efficiency category","good if >=0.8, average if >=0.6, bad if <0.6",good/average/bad,N/A
log_tests,runs,Count,verification,"Rows in runs sheet","Count of rows for this run_id",integer,N/A
log_tests,langgraph_events,Count,verification,"Rows in langgraph_events","Count of rows for this run_id",integer,N/A
log_tests,llm_calls,Count,verification,"Rows in llm_calls","Count of rows for this run_id",integer,N/A
log_tests,tool_calls,Count,verification,"Rows in tool_calls","Count of rows for this run_id",integer,N/A
log_tests,assessments,Count,verification,"Rows in assessments","Count of rows for this run_id",integer,N/A
log_tests,evaluations,Count,verification,"Rows in evaluations","Count of rows for this run_id",integer,N/A
log_tests,tool_selections,Count,verification,"Rows in tool_selections","Count of rows for this run_id",integer,N/A
log_tests,consistency_scores,Count,verification,"Rows in consistency_scores","Count of rows for this run_id",integer,N/A
log_tests,data_sources,Count,verification,"Rows in data_sources","Count of rows for this run_id",integer,N/A
log_tests,plans,Count,verification,"Rows in plans","Count of rows for this run_id",integer,N/A
log_tests,prompts,Count,verification,"Rows in prompts","Count of rows for this run_id",integer,N/A
log_tests,cross_model_eval,Count,verification,"Rows in cross_model_eval","Count of rows for this run_id",integer,N/A
log_tests,llm_judge_results,Count,verification,"Rows in llm_judge_results","Count of rows for this run_id",integer,N/A
log_tests,agent_metrics,Count,verification,"Rows in agent_metrics","Count of rows for this run_id",integer,N/A
log_tests,total_sheets_logged,Count,verification,"Sheets with data","Count of sheets that have data for this run",integer,N/A
log_tests,verification_status,Rule,verification,"Verification result","pass if >=5 sheets, partial if >0, fail if 0",pass/partial/fail,N/A
